JOBID USER ACCOUNT NODELIST
34789137 lbluque m1268 nid00619
34789138 lbluque m1268 nid00621
34789139 lbluque m1268 nid00624
34789140 lbluque m1268 nid00685
34789110 lbluque m1268 nid02270
34789111 lbluque m1268 nid02281
34789112 lbluque m1268 nid02296
34789109 lbluque m1268 nid02303
34789108 lbluque m1268 nid02301
34789105 lbluque m1268 nid02279
34789354 gengsun m3200 nid10936
34789353 gengsun m3200 nid10949
34789352 gengsun m3200 nid09312
34789351 gengsun m3200 nid10935
34789087 pgurunat m3547 nid0[1919,1941,1949,1970,2007,2009,2027,2225]
34788687 dtlarson m2200 nid00[798-831,845-895,897-899,901-932]
34789082 pgurunat m3547 nid0[1108,1135,1143,1146,1784,1828,1915,1982]
34789078 pgurunat m3547 nid0[0567,0570,0579,0630,0668,0674,0687,1960]
34789350 gengsun m3200 nid12098
34789073 pgurunat m3547 nid0[0547,0562,0564,1239,1867,1874,2022,2264]
34789344 gengsun m3200 nid09630
34789075 lbluque m1268 nid02229
34789342 gengsun m3200 nid09285
34789033 lbluque m1268 nid02297
34789024 lbluque m1268 nid00994
34789021 lbluque m1268 nid01068
34789340 gengsun m3200 nid10618
34789334 gengsun m3200 nid02580
34789335 gengsun m3200 nid04802
34789336 gengsun m3200 nid08994
34789339 gengsun m3200 nid09003
34789333 gengsun m3200 nid11059
34789328 gengsun m3200 nid09240
34789001 lbluque m1268 nid01936
34788999 lbluque m1268 nid01244
34788976 lbluque m1268 nid00993
34782801 hing5ong m1517 nid10837
34782802 hing5ong m1517 nid10867
34788872 vfung m526 nid0[0565,1064,1066,1075-1076,1116-1117,1149,1308-1310,1952,1961-1962,1972-1973,2241-2243,2248]
34791755 duyle m1996 nid[02805-02806,07147,10850]
34789327 gengsun m3200 nid09280
34789326 gengsun m3200 nid09284
34789325 gengsun m3200 nid09843
34789322 gengsun m3200 nid10842
34789323 gengsun m3200 nid10846
34789324 gengsun m3200 nid10856
34783534 ssp5361 m3328 nid[07305-07306,07368,08936,11016]
34782684 txie m655 nid00[177-191,193-195,200-203,208-225]
34782686 txie m655 nid00[226-255,261-263,268-274]
34788864 lbluque m1268 nid00556
34788875 lbluque m1268 nid01132
34788852 lbluque m1268 nid01251
34788857 lbluque m1268 nid01006
34788836 lbluque m1268 nid01951
34788844 lbluque m1268 nid01785
34791754 duyle m1996 nid[05445,07148,10963,10969]
34791753 duyle m1996 nid[08962,09081,10836,10845]
34788878 lbluque m1268 nid02300
34789317 gengsun m3200 nid10939
34782799 xinbian m2597 nid0[0549,0594,0601,1123,1126,1128,1130,1246,1248,1274,1279,1291,1293,1303,1311,1736,1753,1755,1758,1768,1770,1773,1775,1781,1783,1827,1912,1929,1931,1946,1954,1959]
34782798 xinbian m2597 nid0[0505,0544,0546,0585,1266-1267,1276-1277,1748-1749,1765-1766,1821-1822,1833-1834,1844-1845,1877-1878,2001-2002,2200-2201,2257-2258,2261-2262,2276-2277,2285-2286]
34788818 lbluque m1268 nid02015
34788824 lbluque m1268 nid01136
34788812 lbluque m1268 nid01918
34788817 lbluque m1268 nid01072
34788809 lbluque m1268 nid01270
34788833 lbluque m1268 nid02008
34788862 krm m3179 nid[10951,10965,10968,10970,10985,10988,10990,10993]
34791750 duyle m1996 nid0[3031-3034]
34791751 duyle m1996 nid0[3035-3036,9033,9050]
34791752 duyle m1996 nid0[9064,9066,9114,9116]
34789315 gengsun m3200 nid10864
34788770 lbluque m1268 nid02202
34788777 lbluque m1268 nid02237
34788782 lbluque m1268 nid02273
34788788 lbluque m1268 nid01105
34788753 lbluque m1268 nid01830
34788807 lbluque m1268 nid01930
34788672 u16347 m94 nid02233
34789314 gengsun m3200 nid10866
34789313 gengsun m3200 nid10868
34789308 gengsun m3200 nid10888
34788713 vfung m526 nid0[1290,1760,1764,1767]
34782682 txie m655 nid0[0509,1134,1145,1242,1258,1278,1797,1808,1818,1820,1823,1825,1832,1847,1945,1977,1979,2012,2020,2024,2026,2030,2032,2204,2211,2213,2217-2218,2221,2224,2230,2232,2236,2238,2240,2249-2251,2283-2284]
34788677 pgurunat m3547 nid0[0694,0700,0702,0716,0719,0725,2010,2013]
34789307 gengsun m3200 nid10891
34789302 gengsun m3200 nid10905
34789306 gengsun m3200 nid10938
34782681 txie m655 nid0[0510,0548,0563,0600,0602-0603,1085,1098,1119,1292,1305,1319,1727,1757,1864,1873,1911,1913,1917,1933,1938,1942,1947,1950,1953,1957,1969,1971,1975,1978,1980-1981,1983,1992-1993,2003,2016-2017,2288-2289]
34788423 ewcss jcesr nid0[0275-0278,0283-0284,0511,0521-0523,0566,0577,1086-1091,1096,2025]
34789301 gengsun m3200 nid10997
34789297 gengsun m3200 nid10996
34790850 lqlee m2757 nid0[1129,1133,1144,1243,1271,1780,1829,1846,2212,2216]
34792438_83 helenqu dessn nid01997
34791596 apalizha m2755 nid09118
34782678 txie m655 nid000[49-63,72-75,77-97]
34782677 txie m655 nid000[09-48]
34782679 txie m655 nid00[098-127,137-146]
34782680 txie m655 nid0[0147-0176,1717-1726]
34782676 txie m655 nid0[0572,1115,1306,1778,1831,1934,2028,2068-2099,2269]
34791631 apalizha m2755 nid10835
34790784 krm m3179 nid0[3783-3784,8249-8250,8957-8958,8960-8961]
34789296 gengsun m3200 nid11000
34789295 gengsun m3200 nid11060
34789294 gengsun m3200 nid11007
34789293 gengsun m3200 nid11015
34792399 sqshu plant nid00287
34790787 krm m3179 nid[09025-09026,09051-09052,09067-09068,10848-10849]
34789712 sqshu plant nid00287
34789574 sqshu plant nid00301
34792665 sqshu plant nid00462
34792666 sqshu plant nid00463
34792667 sqshu plant nid00465
34792668 sqshu plant nid00466
34792669 sqshu plant nid00468
34792670 sqshu plant nid00469
34787504 cbatton m2893 nid00285
