JOBID USER ACCOUNT NODELIST
32042088 uscms m2612 nid[00892,01213,01385,01405-01406,02228-02239,12732,12901,12918]
32068196 dbenjami m2616 nid[02819,02866-02867,02984-02985,03044-03046,03050-03051,03132-03133,03137-03138,03146,03152-03154,03248-03249,03266-03267,03326-03327,03371-03372,03398-03399,03463,03518,03530-03531,03560-03561,03564-03565,03654,03712-03718,03761,03886,03913,03925,03948,03979,04036,04038,04060-04061,04160,04307,04400-04407,04409-04416,04610,04620,04674,04705,04725,04737,04739,04743,04817,04837,04855,04859,04891-04898,04910,05036-05040,05048,05051,05119,05169,05181,05217,05426-05433,05469,05476,05547,05571,05595,05620,05623,05628,05640,05642,05644,05662,05671,05676,05684,05686,05688,06297-06299,06527-06530,06706-06707,06972-06974,07888-07890,07974-07975,07979-07980,08615-08617,08930-08931,10132-10134,10625-10627,10826-10827,10832-10839,10855-10857,11229-11231,11417-11419,11461-11467,11472-11473,11477-11479,11577-11578,11756-11758,12252-12254,12606-12607]
32068190 houhun m2621 nid[12761-12764]
32068144 lungerja m2997 nid0[3931-3940]
32068129 lungerja m2997 nid[11896-11905]
32068113 lungerja m2997 nid[10164-10173]
32058707 keskital mp107 nid[10916-10931]
32068019 lungerja m2997 nid0[8547-8556]
32058706 keskital mp107 nid0[2597-2601,8385-8395]
32067846 dbenjami m2616 nid[02648,03319-03325,03735-03744,04515-04526,05312-05321,05367-05376,05508-05515,05524-05525,06710-06717,08639-08651,08695-08707,08988-08999,09033-09035,09040-09046,09291,09296-09306,09344-09353,09794-09803,10082-10091,10440-10443,10448-10453,10571,10576-10584,10692-10699,10704-10706,12525-12535]
32067781 ceyang1 m2467 nid0[2643-2646]
32067584 dbenjami m2616 nid[03236-03242,04393-04399,05078-05084,05107-05113,06189-06197,06434-06440,07379-07385,08216-08222,08455-08461,08896-08902,09713-09719,09769-09791,09825-09831,09990-09996,10269-10276,10558-10565,10848-10854,10947-10955,10960-10962,10964-10975,11179-11190,11255-11262,11347-11354,12243-12251]
32066534 sours m3548 nid0[8597-8600]
32066502 sours m3548 nid[10424-10427]
32066440 mcaprio m2032 nid0[6218-6219,6224-6225,6357-6359]
32066430 mcaprio m2032 nid07891
32066159 jackbert m1373 nid02841
32058703 keskital mp107 nid[05887,08903,09808,09942,10748,11330,11460,11491,11500,11748,11809,11818,11829,11839,12042,12075]
32058702 keskital mp107 nid[02525,02770,04089,04614,05218,05885,09596-09597,10845-10846,10881-10882,10939-10940,12473-12474]
32064380 sours m3548 nid0[5860-5861]
32063208 sprice m3412 nid[03439,05542-05546,05805-05809,06455-06460,07202-07206,07273-07279,07291-07297,07547-07553,07562-07567,07733-07737,07779-07783,08805-08811,10395-10401,10755-10759,12306-12313,12378-12382]
32063202 dbenjami m2616 nid[02669-02677,05577-05579,05584-05588,06104-06110,06151-06158,07367-07371,07376-07378,08050-08060,08482-08492,09230-09231,09236-09244,09562-09574,10487-10511,10516-10538,10684-10691,11511-11525,11549-11556,11602-11609,11670-11677,12000-12008,12015-12024]
31993838 sback m2755 nid08756
32054873 eemdee m3632 nid02090
32054862 eemdee m3632 nid00915
32054853 eemdee m3632 nid00788
32054858 eemdee m3632 nid01399
32051870 nintan2 m3628 nid0[1524-1528]
32044276 emurray7 mp351 nid0[2561-2562]
32042921 smanna m1917 nid02524
32042589 smanna m1917 nid12856
32042447 smanna m1917 nid01627
32026448 slrath m3615 nid[03590,03655,06364,10997,11010,11017,11030,11309]
31993672 sback m2755 nid05330
32051841 detar mp13 nid[02520-02522,02552-02553,02594-02595,02626,02633-02634,02653,02661,02664,02666,02683,02732,02749-02750,02755,02777,02780,02784,02797,02802,02843,02873,02912,02922,02932,02954,02958,02970,02979,03000,03007-03008,03010-03011,03027,03034,03037,03039-03040,03058,03085,03100,03106-03107,03116,03118,03129,03147,03167,03170-03171,03176-03177,03185,03189,03198-03199,03204,03206-03207,03209,03211,03226,03230,03246-03247,03256-03257,03259,03268-03269,03275,03283,03333,03348,03354,03356,03359,03375-03376,03383,03390,03400-03401,03419-03420,03422,03430-03431,03434,03436,03442,03460,03462,03464,03468,03517,03519,03524,03527-03528,03548-03549,03558,03567,03630,03653,03657,03669,03679,03682-03683,03685,03693,03695,03710-03711,03727,03777,03779-03780,03784,03786-03787,03793,03801-03802,03809,03812-03813,03828,03867-03868,03880-03883,03887-03889,03914,03922,03926-03927,03950,03969,03998,04043,04049,04051,04054,04088,04091,04161,04163-04169,04177,04185,04188,04194-04195,04199,04201,04206,04218,04238,04252,04262,04264,04277,04280,04285,04313,04326,04363,04376,04378,04381,04447,04452,04454-04455,04461,04502-04503,04513,04588,04594,04598-04599,04632,04637-04638,04659,04661-04663,04697,04738,04745,04747,04758,04765,04784-04785,04803-04804,04806,04818-04819,04838,04840-04841,04857,04878,04884,04903-04904,04911,04920,04924-04930,04989,04992,04994,05001-05002,05018,05024,05041,05045-05046,05049,05052,05061-05062,05072,05075,05088-05091,05114-05115,05122-05123,05155,05164-05165,05177,05183-05184,05214,05219-05221,05224-05230,05239-05242,05246,05252,05255-05257,05261,05272,05277-05278,05284-05285,05297-05298,05302-05308,05346,05349,05351-05352,05361,05365,05381,05388,05397,05413-05414,05435-05436,05440,05447,05464,05479-05480,05487-05488,05495,05507,05540-05541,05550,05552,05558-05559,05562,05572-05573,05590-05591,05593-05594,05596-05597,05606,05634-05635,05659-05660,05702-05707,05712-05715,05729-05730,05741-05742,05748-05749,05765-05766,05788-05789,05792-05793,05830-05831,05843-05844,05858-05859,05865-05866,05880-05881,05883-05884,05910-05911,05959-05960,05974-05980,05982-05988,06041-06042,06055-06056,06058,06072-06073,06075,06086,06090-06091,06121-06122,06130-06132,06139,06198-06208,06226,06250,06252,06254,06279-06280,06283,06292,06295,06305,06310-06311,06332,06334,06340-06341,06343,06345-06346,06369,06379-06380,06392-06393,06395,06407,06445-06449,06451,06462,06464,06466-06467,06475,06495,06502,06518-06519,06523-06524,06548,06578,06583-06584,06591,06598,06600-06602,06625,06627-06628,06632-06633,06649,06663,06665,06667,06678,06680,06682-06683,06685,06688,06692,06696,06698,06703-06704,06721,06736,06748-06751,06760-06766,06768,06770,06777,06782,06789,06824,06837,06853,06870-06871,06878,06881-06882,06903,06905-06906,06908,06910,06912,06956,06959,06968-06969,06979-06980,07001-07002,07006,07012,07078,07091,07126,07129,07137,07170,07183,07193,07211,07218,07224,07230,07266,07272,07289,07306,07308,07397,07402,07405,07412,07418-07419,07425,07429,07432,07444,07447,07467,07469,07482-07483,07493,07495,07497,07506,07511,07516,07554,07573,07577,07582,07594,07596,07599-07600,07614,07632-07634,07643-07645,07659,07702-07704,07728,07751,07767-07769,07771-07772,07784-07785,07787,07804,07806-07808,07815,07822-07823,07840,07875-07879,07894,07897-07898,07905,07912,07919,07921,07929,07933,07936,07939,07942,07944,07957,07959,07967,07991,08006,08023,08064,08066,08075,08084,08104,08115,08203-08205,08223,08234-08236,08239-08241,08248,08258,08262,08273,08282-08284,08286-08287,08324-08333,08363,08430,08438,08444-08445,08474-08476,08481,08518-08519,08522,08531,08574,08612-08614,08618-08619,08663,08669-08678,08717,08719,08764,08818,08824-08826,08846,08855-08863,08878,08917,08932-08934,08943,08945,08957,08965,08967-08975,08980-08985,09001,09053-09055,09068-09070,09073,09078-09080,09091,09109,09134-09142,09152,09168,09170,09172,09174,09187,09208-09210,09212,09273,09307,09314,09333-09343,09357,09365,09370,09382-09391,09439,09445,09451,09471-09472,09481,09509-09510,09514-09515,09553-09555,09557,09576-09578,09583,09588-09590,09633,09635-09637,09639,09657,09659-09660,09667-09668,09683,09698-09700,09711,09731,09814,09840,09856,09869,09896,09899,09903,09910,09923-09931,09936,09969,09974-09976,09978,09999,10012,10035-10036,10078-10080,10093,10100-10101,10104-10105,10135-10136,10144,10152-10153,10174-10175,10179,10200,10203,10208,10212-10214,10219-10221,10228,10237-10239,10244,10250,10252,10261,10268,10277,10285,10293,10303,10312,10331-10333,10345,10359,10363-10366,10394,10414,10418-10420,10435,10540-10542,10652-10654,10658-10661,10739,10765-10767,10772,10792-10802,10820-10822,10847,10859,10893-10894,10908-10909,11018-11023,11028-11029,11033-11034,11038-11050,11080-11082,11101,11131-11133,11203,11224,11226-11228,11298-11308,11321-11322,11358-11360,11382-11384,11432-11433,11579-11580,11825-11826,11841-11848,11888-11895,11967-11971,12044-12046,12090-12091,12289-12290,12314-12315,12555-12558,12573-12575,12577-12578,12609-12611]
32051852 detar mp13 nid[02556,02608,02616-02621,02686-02688,02690-02693,02745-02748,02825-02827,02846-02850,02868-02870,02881-02887,02904-02910,02935-02937,02955-02957,02971-02973,02988-02990,02995-02998,03019,03024-03025,03041-03043,03126-03128,03134-03136,03168,03200-03202,03233-03235,03243-03245,03251-03255,03261-03265,03360-03364,03394-03396,03403,03408-03409,03412-03416,03470-03471,03476-03477,03513-03515,03542-03546,03576-03578,03583-03589,03605-03610,03622-03624,03631-03633,03639-03642,03649-03652,03687-03689,03697-03701,03721-03722,03795-03799,03814-03816,03846-03849,03945-03947,03958-03962,03970-03975,03991-03995,04005-04009,04022-04026,04077-04080,04093-04095,04274-04276,04437-04440,04621-04623,04628-04629,04668-04672,04675-04678,04683,04688-04691,04711-04713,04868-04872,04874-04876,05050,05063-05067,05178-05180,05247-05251,05258-05260,05279-05283,05296,05322-05323,05328-05329,05382-05384,05416-05419,05434,05481-05485,05489-05493,05564-05570,05574-05576,05624-05626,05655-05658,05716-05721,05723-05727,05732-05735,05751-05753,05770-05773,05785-05787,05810-05813,05826-05829,05886,05888,06036-06038,06076-06081,06116-06120,06141-06146,06159,06164-06165,06300-06303,06312-06329,06336-06339,06374-06376,06396-06399,06441-06444,06472-06474,06496-06501,06531-06533,06535-06537,06541-06543,06560-06565,06634-06636,06641-06645,06796-06799,06804,06812-06818,06831-06835,06848-06851,06888-06895,06949-06951,06982-06984,07013-07015,07021-07028,07047-07051,07060,07079-07081,07083-07085,07094-07100,07106-07109,07131-07133,07179-07182,07189-07192,07194-07199,07214-07216,07235-07237,07285-07287,07453-07455,07517-07521,07523-07525,07601-07604,07639-07641,07653-07656,07665-07668,07691-07695,07700-07701,07788-07790,07795-07797,07799-07803,07816,07843-07849,07881-07883,07976-07978,08003-08005,08039-08041,08076-08078,08089-08092,08100-08102,08145-08147,08149-08152,08207,08212-08214,08346-08349,08367-08374,08539-08542,08563-08566,08633-08637,08679-08683,08746-08749,08871-08874,09101-09103,09108,09204-09207,09216-09220,09223-09226,09320-09324,09373-09377,09400-09403,09584-09587,09598-09601,09693-09697,09701-09705,09726-09729,09734-09737,10021-10028,10041-10050,10052-10059,10064-10077,10120-10127,10183-10187,10192-10194,10348-10352,10382-10383,10388-10389,10403-10406,10459-10462,10480-10483,10554-10557,10567-10570,10596-10600,10619-10624,10646-10650,10664-10670,10673-10676,10711-10714,10782-10786,10840-10843,10867-10873,10875-10880,10883,10888-10891,11009,11031,11063-11067,11114-11119,11125-11128,11166-11170,11207-11210,11236-11239,11243-11246,11254,11266-11269,11276-11279,11290,11295,11314,11316-11320,11325,11331,11376,11399-11402,11431,11434,11494-11499,11501,11541-11544,11625-11628,11630-11637,11639-11643,11656-11661,11680-11685,11704-11708,11720-11723,11728-11731,11740-11743,11785,11874,11914,11931,11947,11991,12009-12014,12208-12212,12223-12224,12278-12281,12301-12305,12330-12331,12356-12360,12365-12368,12391-12398,12413-12423,12425-12428,12602-12605,12619-12626,12631-12639,12647-12650]
